 abeyance 	continuance
 sick 		healthy
 simple 	complicated
 singular 	plural
 sink 		float
 sit 		stand
 slavery 	freedom
 slim 		stout
 slow 		fast
 small 		large
 smart 		dumb
 smile 		frown
 smooth 	rough
 sober 		drunk
 soft 		hard
 solid 		liquid
 some 		none
 sorrow 	joy
 sour 		sweet
 south 		north
 sow 		reap
 speaker 	listener
 spend 		save
 spendthrift 	miser
 stale 		fresh
 stand 		lie
 start 		finish
 stationary 	movable
 stay 		go
 stingy 	generous
 stop 		go
 straight 	crooked
 stranger 	friend
 strengthen 	weaken
 strict 	lenient
 strong 	weak
 stupid 	clever
 succeed 	fail
 success 	failure
 summer 	winter
 sun 		moon
 sunny 		cloudy
 superior 	inferior
 supply 	demand
 sweet 		sour
 swift 		slow
 synonym 	antonym
 take 		give
 tall 		short
 tame 		wild
 tardy 		early
 teacher 	pupil
 temporary 	permanent
 tenant 	landlord
 thaw 		freeze
 them 		us
 there 		here
 thick 		thin
 thin 		thick
 tight 		loose
 tiny 		huge
 together 	apart
 top 		bottom
 tough 		tender
 transparent 	opaque
 triumph 	fail
 trivial 	important
 true 		false
 truth 		falsehood
 ugly 		beautiful
 unattended 	attended
 unauthorized 	authorized
 unavailable 	available
 unavoidable 	avoidable
 unbreakable 	fragile
 unconscious 	conscious
 under 		over
 understand 	misunderstand
 unfold 	fold
 unforeseen 	foreseen
 unforgivable 	forgivable
 unfortunate 	fortunate
 unique 	ordinary
 unjust 	just
 unknown 	known
 unlikely 	likely
 unnecessary 	necessary
 unqualified 	qualified
 unsafe 	safe
 unsatisfactory satisfactory
 unzip 		zip
 up 		down
 upstairs 	downstairs
 upwards 	downwards
 us 		them
 useful 	useless
 useless 	useful
 usually 	rarely
 vacant 	occupied
 valley 	hill
 valuable 	valueless
 vanish 	appear
 vast 		tiny
 vertical 	horizontal
 vice 		virtue
  victory 	defeat
 villain 	hero
 violent 	gentle
 virtue 	vice
 visible 	invisible
 voluntary 	compulsory
 vowel 		consonant
 walk 		run
 wane 		wax
 war 		peace
 warm 		cool
 wax 		wane
 weak 		strong
 wealth 	poverty
 west 		east
 wet 		dry
 whisper 	yell
 white 		black
 wide 		narrow
 wild 		tame
 win 		lose
 winter 	summer
 wisdom 	folly
 wise 		foolish
 within 	without
 work 		play
 worst 		best
 worthless 	valuable
 wrong 		right
 yang 		yin
 yes 		no
 yin    	yang
 young  	old
 zenith 	nadir
 zip 		unzip
